gr_liv_area,total_bsmt_sf,garage_area,mas_vnr_area,overall_qual,fireplace_qu,age,since_reno,tot_baths,neighbor_h,neighbor_l,garage_type_a,gr_liv_area overall_qual,garage_area overall_qual,saleprice
1479,725.0,475.0,289.0,6,0,34,5,2.5,0,1,1,8874.0,2850.0,130500
2122,913.0,559.0,132.0,7,3,14,13,3.5,0,0,1,14854.0,3913.0,220000
1057,1057.0,246.0,0.0,5,0,57,3,2.0,0,0,0,5285.0,1230.0,109000
1444,384.0,400.0,0.0,5,0,4,3,2.5,0,0,1,7220.0,2000.0,174000
1445,676.0,484.0,0.0,6,0,110,17,2.0,0,0,0,8670.0,2904.0,138500
1888,1517.0,578.0,0.0,6,4,44,8,2.5,0,0,1,11328.0,3468.0,190000
1072,547.0,525.0,82.0,6,0,5,4,3.0,0,1,0,6432.0,3150.0,140000
1188,1188.0,531.0,180.0,5,0,51,51,2.0,0,0,1,5940.0,2655.0,142000
924,924.0,420.0,0.0,5,0,58,58,1.0,0,1,0,4620.0,2100.0,112500
2080,1040.0,504.0,192.0,5,3,41,41,2.5,0,0,1,10400.0,2520.0,135000
987,483.0,264.0,232.0,6,0,39,39,1.5,0,1,0,5922.0,1584.0,85400
1208,1208.0,632.0,0.0,7,0,5,5,2.0,0,0,1,8456.0,4424.0,183600
2016,0.0,576.0,0.0,5,3,130,3,1.0,0,0,1,10080.0,2880.0,131000
1607,960.0,480.0,456.0,8,0,11,10,3.5,0,0,0,12856.0,3840.0,200000
1361,1351.0,610.0,0.0,7,0,3,3,2.0,0,0,1,9527.0,4270.0,193000
1430,1430.0,624.0,0.0,5,0,6,5,2.0,0,0,1,7150.0,3120.0,173500
1344,624.0,513.0,0.0,5,0,94,60,1.0,0,1,0,6720.0,2565.0,98000
1121,1121.0,480.0,0.0,5,0,47,47,2.0,0,1,0,5605.0,2400.0,139000
1285,660.0,528.0,148.0,6,3,33,33,1.5,0,1,1,7710.0,3168.0,143500
1547,756.0,614.0,0.0,7,0,1,1,2.5,0,0,1,10829.0,4298.0,215200
894,894.0,450.0,0.0,5,1,42,42,1.0,0,1,1,4470.0,2250.0,129000
1659,1501.0,499.0,0.0,8,5,10,10,3.0,1,0,1,13272.0,3992.0,278000
2253,1209.0,575.0,0.0,8,4,5,4,2.5,1,0,1,18024.0,4600.0,344133
1187,1168.0,420.0,0.0,6,0,18,3,3.0,0,0,1,7122.0,2520.0,185000
1056,1056.0,572.0,0.0,5,0,55,55,2.0,0,0,1,5280.0,2860.0,145000
1453,1453.0,530.0,3.0,6,3,49,49,3.0,0,0,1,8718.0,3180.0,187500
894,894.0,336.0,0.0,5,4,45,1,2.0,0,1,0,4470.0,1680.0,138500
1938,942.0,240.0,0.0,5,4,73,15,2.0,0,0,0,9690.0,1200.0,198000
1991,957.0,0.0,0.0,5,0,115,4,2.0,0,1,0,9955.0,0.0,119600
924,672.0,576.0,0.0,5,1,61,4,1.0,0,0,0,4620.0,2880.0,122900
2524,2524.0,542.0,0.0,8,4,29,29,3.5,0,0,1,20192.0,4336.0,278000
1517,792.0,400.0,0.0,8,4,81,60,1.0,0,0,0,12136.0,3200.0,230000
1494,1494.0,481.0,0.0,8,4,15,14,2.5,0,0,1,11952.0,3848.0,270000
948,948.0,410.0,0.0,6,0,58,58,1.0,0,0,0,5688.0,2460.0,125000
1718,1705.0,826.0,336.0,8,4,3,2,3.0,0,0,1,13744.0,6608.0,297000
1142,160.0,384.0,82.0,6,4,52,52,1.0,0,0,0,6852.0,2304.0,113500
1475,757.0,336.0,0.0,5,3,33,33,2.0,0,1,1,7375.0,1680.0,127000
1844,1844.0,546.0,480.0,6,3,33,33,2.0,0,0,1,11064.0,3276.0,190000
1242,1242.0,528.0,320.0,7,3,37,37,1.5,0,0,1,8694.0,3696.0,175500
990,990.0,384.0,0.0,5,0,16,16,2.0,0,0,0,4950.0,1920.0,146000
1256,1256.0,276.0,0.0,5,0,45,45,2.5,0,1,1,6280.0,1380.0,147500
2076,2076.0,850.0,0.0,10,4,4,4,3.5,1,0,1,20760.0,8500.0,465000
1110,1097.0,602.0,104.0,5,3,32,32,2.0,0,0,1,5550.0,3010.0,165500
1795,1050.0,352.0,335.0,5,0,56,56,2.0,0,1,1,8975.0,1760.0,131500
1040,1040.0,384.0,0.0,5,0,45,45,2.0,0,1,0,5200.0,1920.0,129500
1873,608.0,786.0,40.0,8,4,75,60,1.5,0,0,0,14984.0,6288.0,257076
1604,984.0,660.0,0.0,5,0,69,50,2.0,0,1,0,8020.0,3300.0,117000
1502,776.0,270.0,0.0,7,4,79,10,1.5,0,0,1,10514.0,1890.0,149000
1063,1056.0,280.0,110.0,5,0,56,56,2.0,0,0,1,5315.0,1400.0,128000
1626,764.0,474.0,106.0,7,0,7,6,2.5,1,0,1,11382.0,3318.0,155000
1524,756.0,440.0,513.0,6,0,10,10,2.5,0,0,0,9144.0,2640.0,166000
1981,1122.0,576.0,0.0,4,3,82,60,3.0,0,1,0,7924.0,2304.0,135000
2784,1392.0,564.0,184.0,7,3,32,32,4.5,0,0,1,19488.0,3948.0,250000
1092,546.0,0.0,0.0,4,0,40,40,1.5,0,1,0,4368.0,0.0,76000
1575,216.0,400.0,522.0,6,4,59,59,1.5,0,0,1,9450.0,2400.0,155000
1352,663.0,299.0,143.0,6,0,41,41,1.5,0,1,1,8112.0,1794.0,158000
1200,600.0,480.0,0.0,7,0,6,5,3.5,0,0,0,8400.0,3360.0,149500
936,936.0,240.0,0.0,5,0,56,35,1.0,0,0,1,4680.0,1200.0,121000
1040,1040.0,293.0,0.0,6,0,57,57,1.5,0,0,1,6240.0,1758.0,136000
1636,916.0,386.0,0.0,6,3,14,14,2.5,0,0,1,9816.0,2316.0,173000
